Name	Calories kcal/g	Protein/g	Carbs/g	Fat/g	Fibre/g
Asparagus	0.200	0.022	0.039	0.001	0.0210
Avocado	1.600	0.020	0.090	0.150	0.0200
Beans, French	0.294	0.024	0.071	0.002	0.0235
Beef Ground 10% Fat	2.170	0.260	0.000	0.100	0.0000
Beef Lean	2.170	0.260	0.000	0.120	0.0000
Berry, Triple	0.571	0.000	0.136	0.004	0.0500
Blueberries	0.570	0.007	0.145	0.003	0.0240
Broccoli	0.340	0.028	0.066	0.004	0.0260
Broth	0.071	0.000	0.013	0.000	0.0000
Butter	7.170	0.009	0.001	0.811	0.0000
Celery	0.160	0.007	0.030	0.002	0.0160
Cheese, Cottage	0.796	0.115	0.044	0.022	0.0000
Chicken	1.650	0.310	0.000	0.036	0.0000
Chocolate, 95% Cacou	6.250	0.125	0.250	0.563	0.1563
Chocolate, Pink Salt Caramel	4.643	0.036	0.536	0.357	0.0714
Corn	0.860	0.034	0.190	0.000	0.0270
Cucumber	0.150	0.007	0.036	0.001	0.0050
Cupcake	4.085	0.028	0.493	0.225	0.0070
Egg	1.430	0.126	0.007	0.095	0.0000
Egg yolk	3.220	0.160	0.036	0.270	0.0000
Eggwhite	0.520	0.110	0.007	0.002	0.0000
Espresso	0.020	0.000	0.000	0.000	0.0000
Fish, Snapper	1.280	0.260	0.000	0.024	0.0000
Fish, Tuna	1.320	0.290	0.000	0.010	0.0000
Gelato	1.900	0.040	0.300	0.070	0.0000
Mango, Unripe	0.570	0.006	0.135	0.002	0.0220
Milk, Almond Unsweetened	0.125	0.033	0.033	0.083	0.0000
Milk, Planet Oatmilk original	0.500	0.008	0.092	0.013	0.0083
Movie Popcorn	5.500	0.090	0.580	0.300	0.1000
Mushrooms	0.220	0.031	0.033	0.003	0.0100
Olive oil	8.840	0.000	0.000	1.000	0.0000
Onion, Red	0.400	0.011	0.093	0.001	0.0170
Organic whey protein	3.929	0.750	0.107	0.054	0.0357
Parsnips	0.750	0.012	0.180	0.003	0.0490
Paste, Tomato	0.943	0.030	0.212	0.000	0.0606
Peanut Butter	5.900	0.251	0.196	0.504	0.0600
Peas	0.840	0.054	0.150	0.004	0.0550
Peas, Snap	0.412	0.024	0.071	0.000	0.0235
Peppers, Sweet	0.310	0.010	0.060	0.003	0.0210
Pineapple, Frozen	0.500	0.005	0.130	0.001	0.0140
Popcorn	3.250	0.100	0.725	0.038	0.0889
Potatoe, Sweet	0.860	0.016	0.201	0.001	0.0300
Potatoes	0.770	0.020	0.170	0.001	0.0220
Pumpkin	0.260	0.010	0.065	0.001	0.0050
Red Wine	0.850	0.000	0.026	0.000	0.0000
Rice, Jasberry	3.778	0.067	0.756	0.044	0.0222
Salmon	2.080	0.200	0.000	0.130	0.0000
Salmon, Bellies	3.200	0.180	0.000	0.250	0.0200
Steak, Burger	2.645	0.174	0.007	0.219	0.0000
Steelcut Oats	3.900	0.111	0.694	0.069	0.1100
Strawberry	0.320	0.007	0.077	0.003	0.0200
Tomato	0.180	0.009	0.039	0.002	0.0120
Tomato	0.180	0.009	0.039	0.002	0.0120
Turkey, Ground	1.730	0.214	0.000	0.090	0.0000
Yogurt, Plain Nonfat	0.471	0.041	0.059	0.009	0.0000
Yogurt, Ratio Protein	1.133	0.147	0.060	0.023	0.0000
